State,City,Credit Balance,Checking Account Number,Zip,First Name,Credit Limit,Last Name,Savings Balance,Phone Number,ID,PIN,Savings Account Number,Date of Birth,Credit Account Number,Credit Score,Address,Checking Balance
TX,El Paso,6.97,1000493,79999,Matthew,300,Porter,10033,(915) 123-4567,493,2665,2000493,3/23/19,3000493,351,101 Random Rd.,2369.52
TX,El Paso,4176.13,1000275,79999,Allison,14400,Chang,22487.24,(915) 123-4567,275,7797,2000275,8/16/07,3000275,772,101 Random Rd.,1502.5
TX,El Paso,0.43,1000782,79999,Richard,400,Paul,22686.23,(915) 123-4567,782,1765,2000782,12/26/05,3000782,412,101 Random Rd.,1746.09
TX,El Paso,2783.99,1000625,79999,Heather,12100,Cunningham,22182.19,(915) 123-4567,625,6703,2000625,4/7/90,3000625,799,101 Random Rd.,2478.29
TX,El Paso,90.33,1000216,79999,Chase,300,Miller,24983.49,(915) 123-4567,216,2682,2000216,10/18/19,3000216,548,101 Random Rd.,1537.31
TX,El Paso,24.98,1000762,79999,Jeremy,200,Foster,2450.05,(915) 123-4567,762,4245,2000762,5/13/07,3000762,524,101 Random Rd.,1859.14
TX,El Paso,106.13,1000658,79999,Brandon,5300,Flores,3903.77,(915) 123-4567,658,1523,2000658,6/18/86,3000658,737,101 Random Rd.,2303.29
TX,El Paso,850.75,1000219,79999,Kathryn,3400,Perez,5367.9,(915) 123-4567,219,1693,2000219,8/6/52,3000219,658,101 Random Rd.,2131.75
TX,El Paso,84.51,1000906,79999,Anthony,400,Kramer,10097.05,(915) 123-4567,906,8241,2000906,2/21/20,3000906,561,101 Random Rd.,2423.36
CA,Anaheim,220.92,1000033,92802,Hercules,1000,Disney,19474.97,(714) 781-4636,33,5758,2000033,7/30/10,3000033,641,1313 Disneyland Dr.,2449.32
TX,El Paso,16.28,1000189,79999,Eric,200,Vazquez,2222.33,(915) 123-4567,189,3655,2000189,9/29/54,3000189,438,101 Random Rd.,1579.29
TX,El Paso,66.76,1000733,79999,Douglas,300,Bryant,8565.58,(915) 123-4567,733,1138,2000733,11/15/11,3000733,340,101 Random Rd.,2088.71
TX,El Paso,5060.36,1000436,79999,Samantha,23000,Thomas,2700.16,(915) 123-4567,436,4321,2000436,11/23/14,3000436,816,101 Random Rd.,2407.85
TX,El Paso,490.16,1000050,79968,Miguel,3500,Flores,18578.08,(915) 747-5000,50,1443,2000050,11/8/59,3000050,663,500 W. University Ave.,2305.49
TX,El Paso,86.2,1000751,79999,Howard,4300,Davenport,21082.39,(915) 123-4567,751,8584,2000751,10/30/03,3000751,643,101 Random Rd.,1950.33
TX,El Paso,69.8,1000670,79999,Julia,6900,Jones,14388.85,(915) 123-4567,670,4141,2000670,9/16/13,3000670,707,101 Random Rd.,1633.8
TX,El Paso,44.7,1000601,79999,Shannon,4400,White,14198.66,(915) 123-4567,601,5254,2000601,9/14/38,3000601,588,101 Random Rd.,2221
TX,El Paso,80.18,1000545,79999,Brandy,400,Valenzuela,21826.63,(915) 123-4567,545,2722,2000545,5/3/18,3000545,348,101 Random Rd.,1974.12
TX,El Paso,50.71,1000975,79999,Donald,200,Ramirez,14943.11,(915) 123-4567,975,4130,2000975,6/28/37,3000975,424,101 Random Rd.,2288.5
TX,El Paso,0.91,1000857,79999,Kevin,600,Harrison,20910.43,(915) 123-4567,857,1188,2000857,12/31/14,3000857,561,101 Random Rd.,1557.31
TX,El Paso,117.46,1000851,79999,Nicole,900,Lloyd,24418.71,(915) 123-4567,851,9886,2000851,8/21/46,3000851,583,101 Random Rd.,1738.13
TX,El Paso,420.67,1000796,79999,Erin,3500,Mejia,21699.11,(915) 123-4567,796,6337,2000796,7/30/36,3000796,606,101 Random Rd.,2337.09
CA,Anaheim,483.06,1000018,92802,Jafar,2100,Aladdin,24838.15,(714) 781-4636,18,6460,2000018,6/27/65,3000018,603,1313 Disneyland Dr.,1909.38
TX,El Paso,69.07,1000682,79999,Sarah,300,Griffin,15461.79,(915) 123-4567,682,3772,2000682,6/25/85,3000682,461,101 Random Rd.,2321.49
TX,El Paso,40.7,1000915,79999,James,200,Watson,23373.28,(915) 123-4567,915,6576,2000915,1/11/89,3000915,543,101 Random Rd.,1923.43
TX,El Paso,25.61,1000440,79999,Steven,100,Cabrera,24121.17,(915) 123-4567,440,2946,2000440,5/9/46,3000440,388,101 Random Rd.,2195.06
TX,El Paso,2484.06,1000438,79999,Emily,13800,Brady,20060.22,(915) 123-4567,438,5799,2000438,8/3/37,3000438,788,101 Random Rd.,2185.43
TX,El Paso,96.29,1000934,79999,Phillip,400,Richardson,19024.83,(915) 123-4567,934,4698,2000934,9/29/60,3000934,567,101 Random Rd.,2126.67
TX,El Paso,630.37,1000721,79999,Jorge,4200,Haley,3411.88,(915) 123-4567,721,8472,2000721,12/8/28,3000721,607,101 Random Rd.,2088.78
TX,El Paso,1488.47,1000719,79999,Cody,12400,Robles,8338.8,(915) 123-4567,719,5672,2000719,9/20/30,3000719,758,101 Random Rd.,1648.56
TX,El Paso,40.74,1000171,79999,Karla,500,Johnson,19833.6,(915) 123-4567,171,4243,2000171,9/27/93,3000171,358,101 Random Rd.,1661.04
TX,El Paso,100.03,1001008,79999,Courtney,400,Olsen,9095.69,(915) 123-4567,1008,2987,2001008,10/8/37,3001008,312,101 Random Rd.,1855.38
TX,El Paso,40.64,1000764,79999,William,500,Rice,20325.74,(915) 123-4567,764,6680,2000764,5/25/50,3000764,397,101 Random Rd.,1990.69
TX,El Paso,60.11,1000452,79999,Ray,400,Booth,4264.3,(915) 123-4567,452,2959,2000452,4/9/50,3000452,462,101 Random Rd.,1698.2
TX,El Paso,1782.18,1000984,79999,Luis,6600,Solomon,22881.76,(915) 123-4567,984,6610,2000984,1/20/04,3000984,717,101 Random Rd.,1554.95
TX,El Paso,63.84,1000193,79999,Olivia,300,Romero,4794.74,(915) 123-4567,193,3346,2000193,12/11/08,3000193,409,101 Random Rd.,2376.42
TX,El Paso,408.74,1000085,79968,Ryan,3400,Winkelman,694.47,(915) 747-5000,85,3713,2000085,1/12/73,3000085,587,500 W. University Ave.,1545.84
TX,El Paso,3111.79,1000278,79999,Mario,18300,Walker,3496.2,(915) 123-4567,278,2857,2000278,10/30/75,3000278,804,101 Random Rd.,2194.56
TX,El Paso,105.01,1000180,79999,Michael,500,Smith,1057.08,(915) 123-4567,180,4938,2000180,7/7/39,3000180,504,101 Random Rd.,1534.43
TX,El Paso,0.45,1000141,79999,Sean,4600,Medina,10695.57,(915) 123-4567,141,8518,2000141,1/4/89,3000141,609,101 Random Rd.,1862.56
TX,El Paso,35.8,1000294,79999,Susan,700,Davis,6565.9,(915) 123-4567,294,6644,2000294,1/4/54,3000294,587,101 Random Rd.,2360.24
TX,El Paso,2709.87,1000116,79999,Christopher,12900,Norris,20357.83,(915) 123-4567,116,3301,2000116,3/16/90,3000116,777,101 Random Rd.,2192.72
TX,El Paso,15.4,1000272,79999,Mark,500,Richards,11195.07,(915) 123-4567,272,2907,2000272,1/8/66,3000272,370,101 Random Rd.,1882.94
TX,El Paso,420.02,1000929,79999,Jennifer,2100,Schneider,9913.92,(915) 123-4567,929,4569,2000929,3/10/42,3000929,584,101 Random Rd.,2070.42
TX,El Paso,0.62,1000673,79999,Michael,5400,Parrish,881.17,(915) 123-4567,673,5264,2000673,7/8/81,3000673,737,101 Random Rd.,2025.22
TX,El Paso,100.47,1000370,79999,Angel,500,Joseph,16854.9,(915) 123-4567,370,7124,2000370,2/26/78,3000370,493,101 Random Rd.,1579.39
TX,El Paso,999,1000943,79999,Amber,3700,Conley,20838.96,(915) 123-4567,943,6838,2000943,7/27/57,3000943,610,101 Random Rd.,1803.6
TX,El Paso,0.99,1000325,79999,Melissa,100,Rivera,4005.4,(915) 123-4567,325,8114,2000325,7/21/69,3000325,472,101 Random Rd.,1911.73
TX,El Paso,0.77,1000387,79999,Craig,4500,Oconnell,6062.17,(915) 123-4567,387,2206,2000387,8/11/28,3000387,604,101 Random Rd.,2241.74
TX,El Paso,20.67,1000052,79968,Johnatan,200,Garcia,22258.73,(915) 747-5000,52,1842,2000052,2/14/69,3000052,546,500 W. University Ave.,1624.02
TX,El Paso,42.3,1000579,79999,Theresa,300,Clark,20871.91,(915) 123-4567,579,5528,2000579,10/13/95,3000579,437,101 Random Rd.,1954.97
TX,El Paso,180.13,1000243,79999,Erik,600,Case,11990.05,(915) 123-4567,243,1206,2000243,9/15/33,3000243,351,101 Random Rd.,2038.7
TX,El Paso,1416.6,1000616,79999,Andrew,5900,Marshall,24926.64,(915) 123-4567,616,5396,2000616,9/27/35,3000616,720,101 Random Rd.,1854.78
TX,El Paso,2739.65,1000227,79999,Maria,24900,Mccarthy,21073.68,(915) 123-4567,227,6271,2000227,11/20/16,3000227,824,101 Random Rd.,1932.86
TX,El Paso,45.95,1000471,79999,Eric,300,Ramos,13639.96,(915) 123-4567,471,6746,2000471,9/1/98,3000471,562,101 Random Rd.,1921.58
TX,El Paso,183.22,1000780,79999,Michelle,6100,Rivera,5137.48,(915) 123-4567,780,6524,2000780,6/15/38,3000780,688,101 Random Rd.,2348.45
TX,El Paso,112.15,1000657,79999,Teresa,400,Gardner,1531.77,(915) 123-4567,657,4981,2000657,12/13/46,3000657,533,101 Random Rd.,1693.1
TX,El Paso,35.18,1000837,79999,Victoria,500,White,19826.48,(915) 123-4567,837,6658,2000837,1/10/87,3000837,403,101 Random Rd.,2105.11
TX,El Paso,650.28,1000340,79999,Ricky,6500,Thompson,12740.3,(915) 123-4567,340,4190,2000340,6/19/86,3000340,676,101 Random Rd.,1959.18
TX,El Paso,44.17,1000045,79968,Cristian,400,CruzDuarte,6716.3,(915) 747-5000,45,5605,2000045,4/10/01,3000045,337,500 W. University Ave.,1719.23
TX,El Paso,35.95,1000347,79999,Christina,500,Wheeler,16408.48,(915) 123-4567,347,7451,2000347,12/31/74,3000347,577,101 Random Rd.,1644.36
TX,El Paso,96.5,1000576,79999,Christopher,400,Craig,24217.78,(915) 123-4567,576,2367,2000576,3/7/53,3000576,327,101 Random Rd.,1878.41
TX,El Paso,2059.09,1000338,79999,Courtney,7100,Johnson,2663.1,(915) 123-4567,338,9143,2000338,1/4/79,3000338,670,101 Random Rd.,1643.14
TX,El Paso,874.51,1000130,79999,Shane,4600,Miller,5008.03,(915) 123-4567,130,8685,2000130,6/29/02,3000130,580,101 Random Rd.,2390.23
TX,El Paso,112.98,1000654,79999,Gina,400,Swanson,15900.86,(915) 123-4567,654,8711,2000654,7/6/40,3000654,370,101 Random Rd.,2377.78
TX,El Paso,44.4,1000524,79999,Victoria,200,Moses,1274.61,(915) 123-4567,524,9431,2000524,1/26/14,3000524,491,101 Random Rd.,2357.73
TX,El Paso,147.25,1000265,79999,David,4900,Thomas,12971.53,(915) 123-4567,265,8261,2000265,5/26/99,3000265,581,101 Random Rd.,1704.58
TX,El Paso,76.93,1000727,79999,William,400,Adkins,1958.55,(915) 123-4567,727,1141,2000727,9/7/88,3000727,346,101 Random Rd.,1980.9
TX,El Paso,34.46,1000082,79968,Sergio,200,Velasco,15165.84,(915) 747-5000,82,6454,2000082,7/18/13,3000082,335,500 W. University Ave.,2223.67
TX,El Paso,4408.55,1000794,79999,Mark,15200,Stewart,22742.64,(915) 123-4567,794,9860,2000794,8/30/96,3000794,776,101 Random Rd.,2243.11
TX,El Paso,63.09,1001023,79999,Kristen,300,Martinez,4492.33,(915) 123-4567,1023,7281,2001023,11/26/14,3001023,313,101 Random Rd.,2110.06
TX,El Paso,20.11,1000101,79999,Erica,400,Harrison,19699.47,(915) 123-4567,101,6153,2000101,10/6/53,3000101,354,101 Random Rd.,1773.93
TX,El Paso,23.58,1000607,79999,Linda,100,Robles,11816.91,(915) 123-4567,607,8864,2000607,3/8/62,3000607,461,101 Random Rd.,2472.96
TX,El Paso,52.05,1000562,79999,Diana,200,Matthews,11773.83,(915) 123-4567,562,1707,2000562,3/5/80,3000562,521,101 Random Rd.,2273.34
TX,El Paso,1476.18,1000312,79999,Jenny,12300,Henry,6914.86,(915) 123-4567,312,7787,2000312,11/15/63,3000312,768,101 Random Rd.,1968.66
TX,El Paso,30.91,1000309,79999,Denise,100,Morales,12664.6,(915) 123-4567,309,6268,2000309,12/19/08,3000309,449,101 Random Rd.,2469.11
TX,El Paso,2.14,1000504,79999,Angela,200,Lang,12850.22,(915) 123-4567,504,1913,2000504,5/3/83,3000504,358,101 Random Rd.,2093.49
TX,El Paso,4.19,1000848,79999,Philip,400,Holt,11578.63,(915) 123-4567,848,8666,2000848,11/14/07,3000848,385,101 Random Rd.,2438.64
TX,El Paso,2054.56,1000364,79999,Peggy,15800,Murphy,18120.88,(915) 123-4567,364,5531,2000364,7/4/80,3000364,760,101 Random Rd.,1989.83
TX,El Paso,72.73,1000103,79999,Robert,900,Preston,23261.19,(915) 123-4567,103,7130,2000103,11/26/05,3000103,642,101 Random Rd.,1984.52
TX,El Paso,0.99,1000446,79999,Jon,100,Lopez,8573.83,(915) 123-4567,446,6919,2000446,3/22/74,3000446,450,101 Random Rd.,1816.11
TX,El Paso,54.12,1000636,79999,Crystal,300,Young,13823.37,(915) 123-4567,636,3260,2000636,3/20/89,3000636,315,101 Random Rd.,1947.12
TX,El Paso,135.25,1000847,79999,Amy,500,Parsons,20419.97,(915) 123-4567,847,2765,2000847,1/7/60,3000847,579,101 Random Rd.,2414.28
TX,El Paso,0.31,1000327,79999,Jason,300,Wolfe,5695.6,(915) 123-4567,327,1759,2000327,3/19/08,3000327,326,101 Random Rd.,1649.67
TX,El Paso,20.47,1000768,79999,Brandy,100,Wilkerson,6143.73,(915) 123-4567,768,4826,2000768,12/14/05,3000768,426,101 Random Rd.,2484.2
TX,El Paso,910.6,1001028,79999,Jessica,6500,Smith,20799.62,(915) 123-4567,1028,4975,2001028,8/15/04,3001028,686,101 Random Rd.,1932.86
TX,El Paso,420.93,1000998,79999,Kimberly,2000,Mejia,21553.9,(915) 123-4567,998,9556,2000998,11/4/78,3000998,647,101 Random Rd.,1775.6
TX,El Paso,74.2,1000622,79999,Erika,7400,Lopez,8346.95,(915) 123-4567,622,9893,2000622,3/18/39,3000622,687,101 Random Rd.,2268.86
TX,El Paso,72.47,1000628,79999,Jacob,400,Contreras,24470.41,(915) 123-4567,628,2748,2000628,2/26/37,3000628,526,101 Random Rd.,1788.87
TX,El Paso,1166.15,1000753,79999,Elizabeth,5300,Torres,7648.11,(915) 123-4567,753,4524,2000753,2/17/71,3000753,691,101 Random Rd.,1741.22
TX,El Paso,2960.62,1000875,79999,Carolyn,18500,Dunn,11438.45,(915) 123-4567,875,6305,2000875,12/17/51,3000875,850,101 Random Rd.,2262.03
TX,El Paso,50.64,1000693,79999,Timothy,200,Bernard,11445.74,(915) 123-4567,693,4418,2000693,11/10/90,3000693,378,101 Random Rd.,1944.59
TX,El Paso,266.37,1000905,79999,Rodney,3800,Moss,13432.79,(915) 123-4567,905,2835,2000905,10/25/39,3000905,666,101 Random Rd.,2387.89
TX,El Paso,140.3,1001004,79999,Tammy,500,Thomas,2311.78,(915) 123-4567,1004,4843,2001004,7/8/67,3001004,329,101 Random Rd.,1647.29
TX,El Paso,2613.31,1000328,79999,Stacey,20100,Paul,22539.02,(915) 123-4567,328,1568,2000328,2/15/35,3000328,818,101 Random Rd.,1885.83
CA,Anaheim,1261.86,1000012,92802,Simba,9700,Disney,15449.95,(714) 781-4636,12,9294,2000012,7/19/48,3000012,771,1313 Disneyland Dr.,1936.57
TX,El Paso,10.13,1000375,79999,Dean,500,Smith,18166.81,(915) 123-4567,375,5825,2000375,3/20/49,3000375,323,101 Random Rd.,1855.23
CA,Anaheim,1475.46,1000035,92802,Lilo,5900,Disney,10138.29,(714) 781-4636,35,6605,2000035,4/7/56,3000035,686,1313 Disneyland Dr.,1665.07
TX,El Paso,4800.49,1000602,79999,Brian,24000,Gates,13246.01,(915) 123-4567,602,4996,2000602,10/9/16,3000602,803,101 Random Rd.,1958.6
TX,El Paso,36.67,1000487,79999,Steven,400,Owens,12222.29,(915) 123-4567,487,3111,2000487,11/2/07,3000487,404,101 Random Rd.,2449.36
TX,El Paso,5746.75,1000551,79999,Kelly,22100,Harris,4579.29,(915) 123-4567,551,5971,2000551,11/13/43,3000551,817,101 Random Rd.,1646.63
TX,El Paso,6561.43,1000832,79999,Michael,24300,Williamson,2465.99,(915) 123-4567,832,7984,2000832,7/4/65,3000832,848,101 Random Rd.,2187.32
TX,El Paso,58.02,1000822,79999,Tanya,5800,Turner,13045.39,(915) 123-4567,822,4693,2000822,8/20/07,3000822,724,101 Random Rd.,1784.57
TX,El Paso,40.99,1000746,79999,Monica,500,Craig,5482,(915) 123-4567,746,9463,2000746,3/20/36,3000746,469,101 Random Rd.,1652.35
TX,El Paso,2241.66,1000125,79999,Megan,8300,Noble,10443.62,(915) 123-4567,125,6605,2000125,7/18/11,3000125,753,101 Random Rd.,1873.1
TX,El Paso,1450.84,1000814,79999,Jose,5000,Smith,3552.03,(915) 123-4567,814,5853,2000814,4/13/31,3000814,701,101 Random Rd.,1749.99
CA,Anaheim,882.64,1000019,92802,Ursela,12600,Mermaid,7532.57,(714) 781-4636,19,7370,2000019,11/29/74,3000019,774,1313 Disneyland Dr.,2427.5
TX,El Paso,60.43,1000165,79999,Craig,300,Espinoza,17556.01,(915) 123-4567,165,1271,2000165,10/19/78,3000165,310,101 Random Rd.,2243.56
TX,El Paso,224.4,1000995,79999,Shawn,1400,Santos,7517.15,(915) 123-4567,995,6623,2000995,9/5/60,3000995,594,101 Random Rd.,2027.29
TX,El Paso,72.99,1000269,79999,Angelica,400,Bruce,7840.56,(915) 123-4567,269,9618,2000269,9/7/33,3000269,409,101 Random Rd.,1741.4
TX,El Paso,42.3,1000107,79999,Theresa,600,Obrien,10854.09,(915) 123-4567,107,8105,2000107,8/11/32,3000107,479,101 Random Rd.,1584.28
TX,El Paso,30.15,1000522,79999,Kim,200,Contreras,11589.14,(915) 123-4567,522,2261,2000522,2/12/50,3000522,372,101 Random Rd.,2101.26
TX,El Paso,935.68,1000070,79968,Angel,8500,OteroMontanez,23255.51,(915) 747-5000,70,3874,2000070,7/2/53,3000070,765,500 W. University Ave.,2352.56
TX,El Paso,1800.91,1000061,79968,Bryan,20000,Martinez,21950.37,(915) 747-5000,61,6892,2000061,5/22/98,3000061,832,500 W. University Ave.,2060.11
TX,El Paso,108.33,1000596,79999,Heather,5400,Robbins,1009.74,(915) 123-4567,596,6841,2000596,2/10/71,3000596,734,101 Random Rd.,1972.95
TX,El Paso,104,1000224,79999,Robert,400,Park,13550.63,(915) 123-4567,224,1607,2000224,1/11/63,3000224,483,101 Random Rd.,1815.85
TX,El Paso,450.07,1000649,79999,David,5000,Cox,18629.17,(915) 123-4567,649,6469,2000649,7/21/07,3000649,719,101 Random Rd.,2146.52
CA,Anaheim,23.64,1000036,92802,Stitch,100,Disney,21740.17,(714) 781-4636,36,9897,2000036,8/12/61,3000036,463,1313 Disneyland Dr.,1763.67
TX,El Paso,6496.4,1000376,79999,Lisa,22400,Stafford,10072.11,(915) 123-4567,376,7673,2000376,6/12/83,3000376,804,101 Random Rd.,2482.11
TX,El Paso,42.72,1001024,79999,Maria,600,Kelly,15181.95,(915) 123-4567,1024,8366,2001024,9/10/02,3001024,388,101 Random Rd.,1950.25
TX,El Paso,12.46,1000917,79999,Lisa,200,Jackson,17982.31,(915) 123-4567,917,8624,2000917,5/5/31,3000917,385,101 Random Rd.,1807.75
TX,El Paso,45.86,1000556,79999,Rodney,500,Berg,13314.03,(915) 123-4567,556,7924,2000556,10/10/54,3000556,545,101 Random Rd.,2254.28
TX,El Paso,0.24,1000287,79999,Dustin,12600,Oliver,24671.15,(915) 123-4567,287,7106,2000287,3/2/49,3000287,775,101 Random Rd.,2446.27
TX,El Paso,90.42,1000799,79999,Holly,500,Davidson,23124.17,(915) 123-4567,799,7254,2000799,7/19/63,3000799,461,101 Random Rd.,1990.94
TX,El Paso,1652.21,1000582,79999,Phillip,5900,Brown,11884.68,(915) 123-4567,582,3147,2000582,5/9/13,3000582,704,101 Random Rd.,2042.93
TX,El Paso,20.65,1000919,79999,Donald,200,Villanueva,22684.14,(915) 123-4567,919,5104,2000919,4/23/50,3000919,454,101 Random Rd.,1671.47
TX,El Paso,756.67,1000194,79999,Nicholas,18900,Anderson,2538.62,(915) 123-4567,194,5897,2000194,1/22/19,3000194,828,101 Random Rd.,1975.77
TX,El Paso,142.14,1000575,79999,Bradley,7100,Bell,7370.84,(915) 123-4567,575,6596,2000575,11/20/37,3000575,702,101 Random Rd.,1679.29
TX,El Paso,1218.2,1000247,79999,Christopher,8700,Wright,6543.3,(915) 123-4567,247,6433,2000247,6/19/51,3000247,742,101 Random Rd.,1631.78
TX,El Paso,57.09,1000293,79999,Tami,300,Alexander,19104.26,(915) 123-4567,293,7400,2000293,9/12/77,3000293,384,101 Random Rd.,1581.43
TX,El Paso,230.79,1000129,79999,Paula,1000,Wyatt,13141.22,(915) 123-4567,129,2739,2000129,1/29/40,3000129,581,101 Random Rd.,2282.97
TX,El Paso,125.75,1000466,79999,Christopher,500,Raymond,5233.55,(915) 123-4567,466,1109,2000466,8/29/96,3000466,416,101 Random Rd.,2356.38
TX,El Paso,3077.48,1000445,79999,Ryan,18100,Wilkins,19003.87,(915) 123-4567,445,7699,2000445,9/24/44,3000445,848,101 Random Rd.,2210.72
TX,El Paso,42.28,1000058,79968,Clarissa,200,Lucio,4805.7,(915) 747-5000,58,2526,2000058,12/20/36,3000058,531,500 W. University Ave.,1717.77
TX,El Paso,84.18,1000828,79999,Julie,600,Shaw,13066.2,(915) 123-4567,828,3386,2000828,8/9/42,3000828,370,101 Random Rd.,2158.95
TX,El Paso,24.9,1000301,79999,Lance,400,Dominguez,8728.39,(915) 123-4567,301,4265,2000301,5/27/11,3000301,432,101 Random Rd.,1950.28
TX,El Paso,24.25,1000191,79999,Michelle,600,Maldonado,19774.53,(915) 123-4567,191,5711,2000191,2/15/89,3000191,374,101 Random Rd.,2046.68
