ID,Pin,First Name,Last Name,Address,City,State,Zip,Phone Number,Date of Birth,Checking Account Number,Checking Balance,Savings Account Number,Savings Balance,Credit Account Number,Credit Balance,Credit Score,Credit Limit
86,6479,Courtney,Woods,809,El Paso,TX,79968,(915) 747-5000,1/9/14,1000086,75116.07999999993,2000086,148518.44000000003,3000086,217.52000000000027,809,24200
87,3936,Alejandro,Yanez,714,El Paso,TX,79968,(915) 747-5000,1/31/07,1000087,59713.82999999999,2000087,183129.44999999995,3000087,263.91999999999985,714,5500
88,7606,Isaac,Zubia,786,El Paso,TX,79968,(915) 747-5000,6/11/54,1000088,46447.39999999997,2000088,183710.98,3000088,688.98,786,14900
89,7789,Ryan,Rush,654,El Paso,TX,79999,(915) 123-4567,7/29/93,1000089,75177.93999999999,2000089,190828.56,3000089,292.76999999999987,654,3800
90,2245,Tom,Perez,329,El Paso,TX,79999,(915) 123-4567,8/24/81,1000090,60947.69999999999,2000090,172509.67999999996,3000090,497.0700000000003,329,500
91,9894,Brad,Patel,643,El Paso,TX,79999,(915) 123-4567,5/1/01,1000091,87872.34999999995,2000091,190139.5599999999,3000091,1678.6899999999998,643,3000
92,9177,Robert,Lyons,738,El Paso,TX,79999,(915) 123-4567,12/2/20,1000092,65880.68999999997,2000092,181791.55,3000092,18.94999999999999,738,6500
93,1988,Dana,Williams,793,El Paso,TX,79999,(915) 123-4567,1/9/47,1000093,95191.07999999996,2000093,186527.5,3000093,307.0299999999993,793,15200
94,5187,Brittany,Andrews,632,El Paso,TX,79999,(915) 123-4567,5/24/32,1000094,19013.82000000001,2000094,166818.31999999995,3000094,235.47999999999993,632,1800
95,5932,Sean,Klein,300,El Paso,TX,79999,(915) 123-4567,12/21/70,1000095,105075.69999999995,2000095,169059.65000000002,3000095,299.08000000000004,300,300
96,8213,Stephanie,Mcdonald,826,El Paso,TX,79999,(915) 123-4567,1/5/00,1000096,88713.03,2000096,164907.35000000003,3000096,383.98000000000087,826,16400
97,1347,Daniel,Olson,347,El Paso,TX,79999,(915) 123-4567,5/12/39,1000097,79834.22000000002,2000097,178529.2,3000097,99.38000000000002,347,100
98,2500,Christopher,Contreras,545,El Paso,TX,79999,(915) 123-4567,8/23/19,1000098,95845.25999999995,2000098,152600.93,3000098,419.4800000000001,545,500
99,9245,David,Brown,403,El Paso,TX,79999,(915) 123-4567,11/25/13,1000099,100615.97000000007,2000099,159109.13000000003,3000099,39.33000000000004,403,300
100,8780,Patrick,Henderson,750,El Paso,TX,79999,(915) 123-4567,4/3/10,1000100,74987.41999999998,2000100,177804.92000000007,3000100,540.2600000000003,750,10900
101,3333,Erica,Harrison,828,El Paso,TX,79999,(915) 123-4567,1/30/63,1000101,79918.74999999996,2000101,172554.50999999992,3000101,383.75999999999965,828,18500
102,2977,Katherine,Evans,487,El Paso,TX,79999,(915) 123-4567,7/28/97,1000102,43155.34,2000102,162090.07,3000102,395.94999999999993,487,400
103,8797,Robert,Preston,421,El Paso,TX,79999,(915) 123-4567,11/23/12,1000103,61086.56999999998,2000103,176817.72999999998,3000103,195.00999999999996,421,200
104,3406,Melissa,Mccormick,524,El Paso,TX,79999,(915) 123-4567,5/9/49,1000104,102169.71,2000104,180040.81000000003,3000104,379.47,524,400
105,7593,Austin,Griffin,492,El Paso,TX,79999,(915) 123-4567,10/7/91,1000105,102297.32000000004,2000105,215511.29000000007,3000105,99.83999999999999,492,100
106,9686,Michael,Sanchez,551,El Paso,TX,79999,(915) 123-4567,11/5/04,1000106,69279.08,2000106,166317.99,3000106,93.95000000000002,551,100
107,7311,Theresa,Obrien,598,El Paso,TX,79999,(915) 123-4567,8/22/77,1000107,101627.20000000007,2000107,155713.04000000004,3000107,526.5400000000002,598,700
108,4379,Chelsea,Gallagher,581,El Paso,TX,79999,(915) 123-4567,3/19/35,1000108,85329.06999999999,2000108,154392.19999999998,3000108,439.3100000000002,581,2200
109,5457,Crystal,Hudson,805,El Paso,TX,79999,(915) 123-4567,12/24/79,1000109,118323.91999999997,2000109,192910.6099999999,3000109,791.0500000000003,805,19700
110,9653,Travis,Mcdonald,371,El Paso,TX,79999,(915) 123-4567,5/7/72,1000110,75863.3999999999,2000110,139289.04,3000110,198.0,371,200
111,2176,Logan,Palmer,711,El Paso,TX,79999,(915) 123-4567,9/12/59,1000111,70700.79000000005,2000111,147744.35999999996,3000111,312.2600000000012,711,6800
112,5407,Renee,Bradley,634,El Paso,TX,79999,(915) 123-4567,7/5/57,1000112,104113.29999999994,2000112,130586.44,3000112,494.5900000000003,634,1400
113,9269,Michele,Stevens,424,El Paso,TX,79999,(915) 123-4567,6/27/56,1000113,79152.24999999997,2000113,179471.90999999997,3000113,494.1799999999999,424,500
114,6957,Kirsten,Robinson,379,El Paso,TX,79999,(915) 123-4567,8/31/52,1000114,58164.29999999992,2000114,181805.31999999992,3000114,314.4600000000001,379,600
115,3814,Douglas,Rodriguez,506,El Paso,TX,79999,(915) 123-4567,4/27/58,1000115,83132.37,2000115,168918.60000000006,3000115,493.3500000000001,506,500
116,2122,Christopher,Norris,350,El Paso,TX,79999,(915) 123-4567,2/11/10,1000116,86496.02000000002,2000116,186157.34000000005,3000116,396.29,350,400
117,9837,Crystal,Walker,508,El Paso,TX,79999,(915) 123-4567,11/12/96,1000117,70575.92999999998,2000117,150500.52,3000117,497.57000000000005,508,500
118,5648,Sean,Roberts,487,El Paso,TX,79999,(915) 123-4567,11/20/79,1000118,37874.06000000002,2000118,184277.81999999995,3000118,499.4800000000001,487,500
119,6460,Brittany,Hawkins,511,El Paso,TX,79999,(915) 123-4567,8/27/89,1000119,109906.44,2000119,182945.06000000008,3000119,298.11,511,300
120,2119,Beverly,Johnson,597,El Paso,TX,79999,(915) 123-4567,11/10/94,1000120,89676.00999999992,2000120,167543.15999999997,3000120,895.6900000000005,597,900
121,7980,Stephen,Ellis,389,El Paso,TX,79999,(915) 123-4567,2/5/45,1000121,105691.53000000009,2000121,186585.50000000015,3000121,103.16999999999999,389,300
122,2610,James,King,829,El Paso,TX,79999,(915) 123-4567,8/27/05,1000122,41410.3,2000122,156033.17000000004,3000122,678.2899999999996,829,21600
123,7289,Pamela,Carter,370,El Paso,TX,79999,(915) 123-4567,1/13/44,1000123,107239.60999999994,2000123,217869.45999999993,3000123,75.74999999999999,370,100
124,3545,Brian,Andrews,390,El Paso,TX,79999,(915) 123-4567,3/3/06,1000124,100796.88000000003,2000124,168722.00000000003,3000124,199.83000000000004,390,200
125,3500,Megan,Noble,516,El Paso,TX,79999,(915) 123-4567,10/30/66,1000125,55940.30999999999,2000125,174199.19,3000125,98.16,516,100
126,4784,Monica,Davenport,310,El Paso,TX,79999,(915) 123-4567,3/29/30,1000126,100337.49999999999,2000126,188945.46999999997,3000126,595.46,310,600
127,4944,Michelle,Holland,678,El Paso,TX,79999,(915) 123-4567,11/27/63,1000127,91148.14000000006,2000127,213170.72000000012,3000127,613.5900000000008,678,6900
128,2259,Kyle,Hodges,513,El Paso,TX,79999,(915) 123-4567,1/15/79,1000128,64167.24999999995,2000128,195754.88000000006,3000128,252.86000000000018,513,600
129,5568,Paula,Wyatt,649,El Paso,TX,79999,(915) 123-4567,6/30/10,1000129,96978.24000000009,2000129,162141.77999999994,3000129,864.2299999999999,649,3300
130,3521,Shane,Miller,685,El Paso,TX,79999,(915) 123-4567,12/29/54,1000130,132774.39000000007,2000130,167745.47999999995,3000130,1118.88,685,6700
131,5846,Kimberly,Kline,536,El Paso,TX,79999,(915) 123-4567,12/18/92,1000131,86952.74,2000131,159689.2600000001,3000131,99.36,536,100
132,6938,Hannah,Arias,758,El Paso,TX,79999,(915) 123-4567,6/8/31,1000132,76777.84999999999,2000132,180393.63999999996,3000132,1369.3100000000002,758,10700
133,7625,Daniel,Hampton,656,El Paso,TX,79999,(915) 123-4567,3/7/41,1000133,102274.39000000003,2000133,179988.14999999994,3000133,335.4500000000001,656,3900
134,1988,Jerry,Curtis,789,El Paso,TX,79999,(915) 123-4567,10/17/44,1000134,70891.17999999992,2000134,135831.76999999996,3000134,425.5400000000012,789,11500
135,3587,Jeffrey,Weiss,767,El Paso,TX,79999,(915) 123-4567,2/25/77,1000135,65596.15999999999,2000135,178083.51000000004,3000135,2204.7,767,9400
136,3119,Ronald,Parker,778,El Paso,TX,79999,(915) 123-4567,1/2/73,1000136,31054.139999999992,2000136,212289.84999999998,3000136,1095.7299999999998,778,10600
137,8946,Christopher,Coleman,586,El Paso,TX,79999,(915) 123-4567,3/8/89,1000137,83471.84000000007,2000137,135455.08999999997,3000137,900.71,586,4800
138,3650,Thomas,Clark,790,El Paso,TX,79999,(915) 123-4567,9/17/55,1000138,133787.92000000007,2000138,198922.45999999996,3000138,740.8000000000003,790,8400
139,8844,Ashley,Romero,811,El Paso,TX,79999,(915) 123-4567,5/4/36,1000139,81494.86000000004,2000139,185701.04,3000139,831.7500000000007,811,16100
140,6174,Gail,Parker,692,El Paso,TX,79999,(915) 123-4567,11/21/46,1000140,51770.920000000006,2000140,174293.93,3000140,1280.64,692,6000
141,4766,Sean,Medina,347,El Paso,TX,79999,(915) 123-4567,4/15/49,1000141,124421.91999999997,2000141,200753.79000000004,3000141,399.3099999999999,347,400
142,3297,Edward,Hernandez,708,El Paso,TX,79999,(915) 123-4567,5/6/52,1000142,132706.26000000013,2000142,179215.82999999996,3000142,866.13,708,5200
143,7805,Todd,Brooks,694,El Paso,TX,79999,(915) 123-4567,12/25/52,1000143,74761.13999999997,2000143,193158.37000000005,3000143,384.97999999999985,694,6800
144,8269,Richard,Torres,440,El Paso,TX,79999,(915) 123-4567,1/30/59,1000144,85239.58999999998,2000144,133632.62999999998,3000144,98.92000000000003,440,100
145,4490,David,Gardner,714,El Paso,TX,79999,(915) 123-4567,11/3/97,1000145,128755.48000000004,2000145,211653.97,3000145,322.12,714,6900
146,2960,Rachel,Vasquez,804,El Paso,TX,79999,(915) 123-4567,1/7/58,1000146,93151.01999999997,2000146,145426.42000000007,3000146,1619.6599999999992,804,23200
147,7552,Ashley,Evans,383,El Paso,TX,79999,(915) 123-4567,4/13/92,1000147,62118.99999999999,2000147,206185.56999999998,3000147,267.46000000000004,383,300
148,6326,Nancy,Morgan,631,El Paso,TX,79999,(915) 123-4567,7/22/01,1000148,51141.53,2000148,157500.47999999998,3000148,699.3799999999998,631,3300
149,9864,Richard,Vargas,502,El Paso,TX,79999,(915) 123-4567,8/4/52,1000149,74853.55000000003,2000149,184127.73,3000149,390.58000000000004,502,400
150,2897,Derrick,Grant,785,El Paso,TX,79999,(915) 123-4567,2/21/36,1000150,42824.699999999975,2000150,154826.75000000003,3000150,1635.95,785,14300
151,4825,Victoria,Martin,300,El Paso,TX,79999,(915) 123-4567,5/25/20,1000151,71959.95000000001,2000151,200188.01,3000151,98.16,300,100
152,6469,Marissa,Wagner,302,El Paso,TX,79999,(915) 123-4567,11/19/17,1000152,102172.63000000008,2000152,186123.86,3000152,237.5600000000001,302,400
153,6411,Stephanie,Harris,798,El Paso,TX,79999,(915) 123-4567,8/18/50,1000153,94212.11000000007,2000153,202799.66000000003,3000153,2227.39,798,10200
154,6731,Richard,Blackwell,814,El Paso,TX,79999,(915) 123-4567,8/4/43,1000154,76296.89000000001,2000154,162458.37999999998,3000154,315.2799999999999,814,18400
155,6807,Dylan,Harris,426,El Paso,TX,79999,(915) 123-4567,4/24/84,1000155,86179.73999999999,2000155,152880.87000000002,3000155,488.25000000000006,426,500
156,3258,Philip,Zamora,387,El Paso,TX,79999,(915) 123-4567,9/29/18,1000156,102816.92000000004,2000156,164425.37000000005,3000156,66.1,387,200
157,5255,Melanie,Kirk,469,El Paso,TX,79999,(915) 123-4567,11/23/51,1000157,99328.48000000004,2000157,163401.71000000014,3000157,99.55999999999999,469,100
158,4584,Michael,Moran,493,El Paso,TX,79999,(915) 123-4567,4/23/03,1000158,23245.53999999998,2000158,158918.51000000004,3000158,298.33000000000004,493,300
159,8980,Jason,Burke,498,El Paso,TX,79999,(915) 123-4567,3/1/76,1000159,65025.33999999998,2000159,190987.16999999993,3000159,195.29999999999998,498,200
160,7938,Susan,Hill,311,El Paso,TX,79999,(915) 123-4567,7/14/84,1000160,45691.65999999999,2000160,144336.95999999993,3000160,325.9700000000001,311,400
161,7146,Lauren,Neal,502,El Paso,TX,79999,(915) 123-4567,6/21/54,1000161,68594.65000000001,2000161,202032.02999999988,3000161,188.13000000000017,502,400
162,3960,Jennifer,Williams,709,El Paso,TX,79999,(915) 123-4567,8/30/10,1000162,27938.85,2000162,174724.68999999992,3000162,635.1400000000004,709,7300
163,5583,Haley,Moss,423,El Paso,TX,79999,(915) 123-4567,6/26/05,1000163,65072.64999999996,2000163,169393.91999999998,3000163,207.01000000000005,423,500
164,9393,Justin,Wilson,716,El Paso,TX,79999,(915) 123-4567,8/1/63,1000164,101788.60999999999,2000164,145504.51,3000164,312.1600000000001,716,5400
165,3975,Craig,Espinoza,447,El Paso,TX,79999,(915) 123-4567,6/8/74,1000165,101885.89000000001,2000165,165265.9200000001,3000165,555.6000000000001,447,600
166,8350,Julie,Alexander,417,El Paso,TX,79999,(915) 123-4567,1/16/47,1000166,79474.00000000001,2000166,152239.49000000002,3000166,171.24000000000004,417,200
167,1545,Anthony,Sanchez,755,El Paso,TX,79999,(915) 123-4567,1/29/50,1000167,81247.61000000003,2000167,182365.04000000004,3000167,1275.6899999999998,755,10500
168,2107,Thomas,King,818,El Paso,TX,79999,(915) 123-4567,10/3/58,1000168,46111.30000000006,2000168,190056.37,3000168,567.8800000000001,818,21300
169,9376,Christina,Walker,686,El Paso,TX,79999,(915) 123-4567,12/22/93,1000169,54666.34999999998,2000169,157817.09999999998,3000169,2015.2800000000004,686,5700
